Rank;Joueur;Nationalité;Position du joueur;Équipe;Compétition;Âge;Année de naissance;Match joué;Match commencé;Minutes jouées;Minutes jouées (90min);But;Passe décisive;But et passe décisive;But sans le pénalty;Pénalty  réussi;Pénalty raté;Carton jaune;Carton rouge;But attendus;But sans pénalty attendu;Passe décisive attendu;But et passe décisive attendue hors penalty;Progression ballon;Progression passe;Progression dribble;But mis par 90 minutes;Passe décisive faite par 90 minutes;But et passe décisive mis par 90 minutes;But mis par 90 minutes sans les pénalty;But et passe décisive mis par 90 minutes sans pénalty;But attendu pour 90 minutes;Passe décisive attendus pour 90 minutes;Nombre de but et de passe décisive attendus pour 90 minutes;But attendu pour 90 minutes sans penalty;Nombre de but et de passe décisive attendus pour 90 minutes sans penalty
187;Stefan Bajcetic;ESP;MF;Liverpool;eng Premier League;18;2004;1;0;26;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
188;Nedim Bajrami;ALB;MF,FW;Sassuolo;it Serie A;24;1999;28;15;1310;14.6;2;2;4;2;0;0;0;0;2.5;2.5;2.2;4.7;51;49;70;0.14;0.14;0.27;0.14;0.27;0.17;0.15;0.33;0.17;0.33
189;Cédric Bakambu;COD;FW;Betis;es La Liga;32;1991;4;2;194;2.2;0;0;0;0;0;0;1;0;0.4;0.4;0.3;0.7;5;4;12;0.00;0.00;0.00;0.00;0.00;0.20;0.13;0.33;0.20;0.33
190;Tiemoué Bakayoko;FRA;MF;Lorient;fr Ligue 1;28;1994;20;15;1314;14.6;2;1;3;2;0;0;5;0;1.7;1.7;0.5;2.2;14;54;15;0.14;0.07;0.21;0.14;0.21;0.12;0.03;0.15;0.12;0.15
191;Mitchel Bakker;NED;DF;Atalanta;it Serie A;23;2000;14;3;382;4.2;1;0;1;1;0;0;1;0;0.2;0.2;0.1;0.3;12;10;20;0.24;0.00;0.24;0.24;0.24;0.05;0.03;0.08;0.05;0.08
192;Ridle Baku;GER;DF,MF;Wolfsburg;de Bundesliga;25;1998;33;22;2013;22.4;1;0;1;1;0;0;4;0;1.8;1.8;3.0;4.8;37;85;130;0.04;0.00;0.04;0.04;0.04;0.08;0.13;0.21;0.08;0.21
193;Dilane Bakwa;FRA;FW,MF;Strasbourg;fr Ligue 1;20;2002;31;25;2177;24.2;3;6;9;3;0;0;4;1;3.2;3.2;6.2;9.4;94;92;204;0.12;0.25;0.37;0.12;0.37;0.13;0.26;0.39;0.13;0.39
194;Tommaso Baldanzi;ITA;MF,FW;Empoli;it Serie A;20;2003;14;8;745;8.3;2;0;2;2;0;0;1;0;2.1;2.1;1.0;3.1;20;30;40;0.24;0.00;0.24;0.24;0.24;0.25;0.13;0.38;0.25;0.38
195;Tommaso Baldanzi;ITA;FW,MF;Roma;it Serie A;20;2003;13;6;518;5.8;0;0;0;0;0;0;2;0;0.9;0.9;0.7;1.5;18;14;54;0.00;0.00;0.00;0.00;0.00;0.15;0.12;0.27;0.15;0.27
196;Alejandro Balde;ESP;DF;Barcelona;es La Liga;19;2003;18;15;1378;15.3;0;1;1;0;0;0;1;0;0.1;0.1;1.2;1.4;73;41;141;0.00;0.07;0.07;0.00;0.07;0.01;0.08;0.09;0.01;0.09
197;George Baldock;GRE;DF;Sheffield Utd;eng Premier League;30;1993;13;11;969;10.8;0;1;1;0;0;0;4;0;0.0;0.0;0.8;0.8;9;31;24;0.00;0.09;0.09;0.00;0.09;0.00;0.07;0.08;0.00;0.08
198;Carlos Baleba;CMR;MF;Brighton;eng Premier League;19;2004;27;15;1325;14.7;0;0;0;0;0;0;7;0;0.8;0.8;0.3;1.1;19;50;9;0.00;0.00;0.00;0.00;0.00;0.06;0.02;0.08;0.06;0.08
199;Carlos Baleba;CMR;MF;Lille;fr Ligue 1;19;2004;2;1;61;0.7;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;3;1;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.05;0.05;0.05
200;Leonardo Balerdi;ARG;DF;Marseille;fr Ligue 1;24;1999;27;26;2271;25.2;2;0;2;2;0;0;6;1;0.9;0.9;0.2;1.0;19;122;6;0.08;0.00;0.08;0.08;0.08;0.03;0.01;0.04;0.03;0.04
201;Iván Balliu;ALB;DF;Rayo Vallecano;es La Liga;31;1992;33;32;2873;31.9;0;1;1;0;0;0;4;0;0.7;0.7;2.6;3.3;50;98;100;0.00;0.03;0.03;0.00;0.03;0.02;0.08;0.10;0.02;0.10
202;Fodé Ballo-Touré;SEN;DF,MF;Fulham;eng Premier League;26;1997;6;0;71;0.8;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;5;0;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
203;Folarin Balogun;USA;FW;Monaco;fr Ligue 1;22;2001;29;19;1692;18.8;7;5;12;7;0;3;1;0;11.0;8.5;3.3;11.8;35;30;199;0.37;0.27;0.64;0.37;0.64;0.59;0.18;0.76;0.45;0.63
204;Jonathan Bamba;CIV;MF,FW;Celta Vigo;es La Liga;27;1996;27;24;1981;22.0;3;2;5;3;0;0;0;0;3.0;3.0;4.7;7.7;107;80;169;0.14;0.09;0.23;0.14;0.23;0.14;0.21;0.35;0.14;0.35
205;Mohamed Bamba;CIV;FW;Lorient;fr Ligue 1;21;2001;16;14;1138;12.6;8;3;11;7;1;1;3;0;6.4;5.6;2.1;7.7;25;16;69;0.63;0.24;0.87;0.55;0.79;0.51;0.16;0.67;0.44;0.61
